"store_id","product_brand","sale_revenue","returned_revenue","return_rate"
20,"Even Better","307.71","6.98","2.27"
16,"Special","425.61","9.68","2.27"
23,"Fast","1226.09","27.86","2.27"
15,"Amigo","261.03","5.92","2.27"
20,"Special","85.50","1.93","2.26"
18,"High Quality","523.21","11.78","2.25"
10,"Lake","499.63","11.25","2.25"
15,"Radius","272.58","6.14","2.25"
12,"Gauss","322.81","7.22","2.24"
18,"Urban","105.08","2.35","2.24"
24,"Robust","276.89","6.20","2.24"
19,"Applause","125.66","2.80","2.23"
16,"Walrus","631.38","14.11","2.23"
1,"Hilltop","924.23","20.50","2.22"
1,"Gulf Coast","419.73","9.31","2.22"
10,"Denny","1382.90","30.68","2.22"
20,"Big Time","585.79","12.96","2.21"
15,"Toucan","126.42","2.78","2.20"
18,"PigTail","350.48","7.70","2.20"
7,"Shady Lake","397.49","8.69","2.19"
21,"Jardon","134.54","2.94","2.19"
8,"Curlew","118.02","2.58","2.19"
9,"Denny","656.38","14.31","2.18"
19,"Consolidated","955.45","20.79","2.18"
9,"CDR","405.89","8.81","2.17"
20,"Club","307.40","6.67","2.17"
10,"Bird Call","723.74","15.65","2.16"
15,"Gauss","406.68","8.78","2.16"
11,"Akron","162.68","3.52","2.16"
11,"Dual City","78.88","1.70","2.16"
1,"Shady Lake","241.31","5.18","2.15"
4,"Colony","303.53","6.54","2.15"
6,"Radius","247.63","5.28","2.13"
4,"Monarch","230.20","4.91","2.13"
9,"Even Better","234.10","4.97","2.12"
23,"Jeffers","125.27","2.65","2.12"
6,"Robust","281.98","5.94","2.11"
7,"Sphinx","475.00","9.98","2.10"
8,"Modell","434.24","9.12","2.10"
18,"Even Better","226.76","4.77","2.10"
20,"Great","160.24","3.36","2.10"
11,"Genteel","90.85","1.90","2.09"
8,"Nationeel","2221.72","46.34","2.09"
11,"Red Wing","2897.14","60.38","2.08"
15,"Jeffers","220.87","4.58","2.07"
16,"Steady","1073.68","22.16","2.06"
1,"Fabulous","427.11","8.74","2.05"
1,"Footnote","47.33","0.97","2.05"
15,"Johnson","114.69","2.35","2.05"
7,"Prelude","112.70","2.30","2.04"
23,"Monarch","142.24","2.90","2.04"
23,"Plato","673.35","13.72","2.04"
18,"Faux Products","346.69","7.06","2.04"
15,"Symphony","78.40","1.60","2.04"
9,"BBB Best","498.09","10.10","2.03"
7,"Footnote","73.35","1.49","2.03"
23,"Giant","162.46","3.30","2.03"
9,"Cormorant","494.84","9.99","2.02"
13,"Walrus","848.25","17.16","2.02"
8,"Applause","138.28","2.80","2.02"
15,"Giant","367.31","7.43","2.02"
12,"Choice","309.20","6.21","2.01"
12,"Imagine","1925.55","38.62","2.01"
24,"Akron","175.14","3.50","2.00"
15,"Blue Label","1616.86","32.28","2.00"
13,"Red Spade","1665.10","33.32","2.00"
15,"Plato","1921.07","38.51","2.00"
6,"Portsmouth","694.75","13.88","2.00"
21,"Swell","164.61","3.26","1.98"
8,"Mighty Good","340.85","6.74","1.98"
12,"Good","530.38","10.51","1.98"
24,"Modell","726.51","14.40","1.98"
11,"Choice","323.42","6.39","1.98"
17,"Green Ribbon","157.49","3.11","1.97"
19,"Curlew","82.44","1.62","1.97"
7,"National","296.54","5.84","1.97"
8,"Tell Tale","2566.12","50.48","1.97"
12,"Toucan","70.94","1.40","1.97"
18,"Red Spade","181.90","3.56","1.96"
15,"Genteel","96.75","1.90","1.96"
13,"Johnson","283.91","5.53","1.95"
6,"Better","1040.80","20.32","1.95"
4,"Swell","83.66","1.63","1.95"
16,"Club","1469.32","28.71","1.95"
24,"Applause","264.98","5.14","1.94"
4,"CDR","1060.96","20.59","1.94"
8,"Shady Lake","268.36","5.18","1.93"
10,"Framton","118.92","2.30","1.93"
7,"Faux Products","1244.28","23.95","1.92"
7,"Good","680.23","13.07","1.92"
11,"Blue Label","1576.69","30.33","1.92"
19,"Modell","515.07","9.84","1.91"
6,"Gerolli","176.68","3.38","1.91"
1,"Dollar","152.72","2.91","1.91"
1,"Good","412.18","7.77","1.89"
23,"Even Better","695.14","13.12","1.89"
12,"Top Measure","372.91","7.04","1.89"
6,"Modell","498.59","9.42","1.89"
1,"Super","1120.78","21.02","1.88"
16,"Framton","244.41","4.60","1.88"
11,"Musial","593.13","11.18","1.88"
23,"Atomic","278.40","5.24","1.88"
1,"Radius","91.98","1.72","1.87"
6,"Dollar","304.96","5.70","1.87"
6,"Jeffers","206.67","3.86","1.87"
4,"Good","426.76","7.98","1.87"
8,"Walrus","510.42","9.48","1.86"
18,"Club","369.79","6.88","1.86"
20,"Golden","327.88","6.11","1.86"
1,"Token","257.44","4.79","1.86"
18,"Modell","131.08","2.44","1.86"
8,"Skinner","690.77","12.88","1.86"
15,"Skinner","636.92","11.78","1.85"
10,"Monarch","195.76","3.60","1.84"
4,"Musial","261.12","4.80","1.84"
3,"Musial","613.68","11.20","1.83"
20,"Nationeel","585.97","10.69","1.82"
24,"Hermanos","3624.76","65.89","1.82"
20,"High Top","643.55","11.72","1.82"
7,"Steady","1138.10","20.74","1.82"
19,"Excel","317.44","5.77","1.82"
23,"Pleasant","668.26","12.14","1.82"
15,"Faux Products","1197.03","21.65","1.81"
12,"Golden","1710.43","30.76","1.80"
4,"Fantastic","248.88","4.49","1.80"
21,"High Top","2103.70","37.97","1.80"
11,"Swell","129.80","2.34","1.80"
10,"Imagine","1159.79","20.83","1.80"
16,"Fantastic","488.06","8.80","1.80"
8,"Colony","395.14","7.13","1.80"
17,"Toretti","67.76","1.21","1.79"
8,"Faux Products","890.00","15.92","1.79"
10,"Best","220.21","3.94","1.79"
4,"American","625.20","11.22","1.79"
12,"Tri-State","2446.80","43.44","1.78"
6,"Faux Products","1099.57","19.58","1.78"
20,"Steady","224.02","3.98","1.78"
8,"American","761.38","13.58","1.78"
23,"Golden","862.58","15.37","1.78"
21,"Lake","737.57","13.05","1.77"
13,"Medalist","832.78","14.63","1.76"
12,"Footnote","55.12","0.97","1.76"
4,"Even Better","633.23","11.17","1.76"
10,"Nationeel","1544.45","27.20","1.76"
19,"Steady","827.66","14.59","1.76"
13,"Robust","406.18","7.16","1.76"
24,"Colossal","445.15","7.80","1.75"
17,"Atomic","663.62","11.61","1.75"
1,"Ship Shape","100.02","1.75","1.75"
19,"Urban","213.30","3.74","1.75"
6,"Amigo","170.05","2.96","1.74"
8,"Framton","184.66","3.21","1.74"
21,"Fast","1748.67","30.39","1.74"
24,"Great","778.86","13.59","1.74"
6,"Swell","93.86","1.63","1.74"
8,"Just Right","1189.10","20.56","1.73"
17,"Blue Label","2158.65","37.39","1.73"
7,"Carlson","1621.97","28.02","1.73"
16,"Urban","353.88","6.09","1.72"
8,"Golden","1754.81","30.13","1.72"
16,"Shady Lake","466.52","8.01","1.72"
17,"Washington","1001.93","17.24","1.72"
21,"Shady Lake","311.88","5.34","1.71"
1,"Great","450.66","7.72","1.71"
17,"American","1405.05","24.04","1.71"
3,"Moms","1083.64","18.49","1.71"
13,"Even Better","2091.41","35.45","1.70"
15,"Fast","2680.19","45.63","1.70"
1,"Excel","126.68","2.15","1.70"
8,"Token","439.54","7.48","1.70"
7,"Mighty Good","323.43","5.49","1.70"
15,"Big Time","2581.67","43.81","1.70"
24,"Carlson","1489.71","25.32","1.70"
17,"High Quality","3742.10","63.80","1.70"
4,"Cutting Edge","426.60","7.23","1.69"
16,"Better","1237.78","20.91","1.69"
11,"Even Better","1453.97","24.59","1.69"
24,"Shady Lake","378.07","6.32","1.67"
7,"Medalist","513.56","8.56","1.67"
13,"Footnote","147.60","2.46","1.67"
21,"Musial","500.95","8.38","1.67"
15,"Even Better","1629.98","27.00","1.66"
19,"Toucan","83.32","1.38","1.66"
7,"Hilltop","1598.34","26.51","1.66"
18,"Just Right","278.15","4.62","1.66"
21,"Excel","194.60","3.23","1.66"
6,"CDR","1946.10","32.32","1.66"
20,"Musial","168.96","2.81","1.66"
8,"Pearl","302.32","5.00","1.65"
3,"Mighty Good","352.25","5.82","1.65"
24,"Giant","314.01","5.17","1.65"
1,"Excellent","521.25","8.60","1.65"
16,"Dollar","386.11","6.32","1.64"
16,"Consolidated","1254.44","20.63","1.64"
19,"Plato","1386.18","22.72","1.64"
1,"Colossal","178.26","2.92","1.64"
8,"Monarch","319.88","5.20","1.63"
21,"Ebony","2247.29","36.61","1.63"
17,"Shady Lake","515.31","8.41","1.63"
3,"Giant","336.09","5.49","1.63"
20,"CDR","318.40","5.20","1.63"
17,"Horatio","4018.12","65.03","1.62"
1,"Cutting Edge","437.20","7.10","1.62"
19,"Best Choice","2081.36","33.68","1.62"
15,"Curlew","159.54","2.58","1.62"
21,"Radius","156.68","2.53","1.61"
16,"Akron","110.24","1.76","1.60"
11,"Fast","2719.34","43.53","1.60"
6,"Medalist","452.35","7.22","1.60"
6,"Fantastic","583.18","9.31","1.60"
3,"Thresher","696.18","11.12","1.60"
23,"Cormorant","1015.48","16.27","1.60"
23,"Tri-State","1341.42","21.44","1.60"
6,"Hermanos","3271.83","52.35","1.60"
17,"Colony","802.75","12.79","1.59"
15,"Mighty Good","340.36","5.40","1.59"
12,"Even Better","1376.48","21.89","1.59"
7,"Colossal","461.00","7.31","1.59"
21,"Booker","1037.89","16.49","1.59"
7,"Top Measure","551.50","8.79","1.59"
1,"Red Spade","498.17","7.87","1.58"
17,"Gerolli","213.62","3.38","1.58"
8,"Fast","1895.50","29.88","1.58"
11,"Skinner","773.14","12.21","1.58"
24,"Just Right","1836.84","29.10","1.58"
8,"Fabulous","609.83","9.64","1.58"
10,"Landslide","932.43","14.76","1.58"
12,"Swell","102.93","1.63","1.58"
6,"Imagine","1848.58","29.22","1.58"
13,"Blue Medal","487.33","7.71","1.58"
1,"Thresher","302.76","4.76","1.57"
16,"Sphinx","480.12","7.53","1.57"
13,"Tri-State","5019.32","78.78","1.57"
24,"Portsmouth","699.08","10.98","1.57"
7,"Jumbo","279.45","4.39","1.57"
3,"Quick","231.73","3.64","1.57"
16,"Red Wing","2480.26","38.57","1.56"
11,"ADJ","176.64","2.76","1.56"
11,"Best","350.23","5.47","1.56"
21,"Giant","246.08","3.84","1.56"
19,"Hilltop","1377.53","21.52","1.56"
10,"Gorilla","876.44","13.67","1.56"
24,"Kiwi","152.88","2.38","1.56"
3,"Akron","113.80","1.76","1.55"
18,"Colossal","120.48","1.87","1.55"
8,"Best","256.62","3.98","1.55"
18,"Better","364.88","5.66","1.55"
17,"Plato","2851.18","44.26","1.55"
17,"Queen","181.50","2.82","1.55"
12,"Blue Label","1142.91","17.64","1.54"
3,"Club","1632.35","25.11","1.54"
15,"Excellent","834.22","12.81","1.54"
7,"Genteel","123.30","1.90","1.54"
6,"Even Better","1311.21","20.13","1.54"
7,"Horatio","2655.14","40.96","1.54"
8,"High Quality","2099.26","32.15","1.53"
3,"Imagine","2296.42","35.12","1.53"
23,"Carlson","713.91","10.89","1.53"
1,"Nationeel","1409.80","21.63","1.53"
10,"Red Wing","1110.18","17.01","1.53"
11,"Super","2060.23","31.29","1.52"
24,"Nationeel","2853.93","43.38","1.52"
8,"Hilltop","1339.61","20.40","1.52"
19,"Green Ribbon","86.27","1.31","1.52"
11,"Sunset","2412.00","36.72","1.52"
1,"BBB Best","1006.50","15.32","1.52"
13,"Blue Label","2357.38","35.53","1.51"
23,"Pearl","127.31","1.92","1.51"
11,"Carlson","1588.47","24.02","1.51"
9,"Faux Products","365.26","5.50","1.51"
3,"Good","679.92","10.20","1.50"
4,"Horatio","1585.99","23.80","1.50"
8,"Big Time","1809.29","27.11","1.50"
7,"Akron","117.46","1.76","1.50"
23,"Fabulous","398.57","5.92","1.49"
19,"Gauss","297.39","4.44","1.49"
10,"Club","734.29","10.92","1.49"
3,"Ebony","3211.53","47.63","1.48"
3,"American","1051.28","15.60","1.48"
13,"Quick","351.58","5.22","1.48"
3,"Red Spade","1054.80","15.52","1.47"
3,"Horatio","2888.39","42.50","1.47"
4,"Fabulous","447.89","6.56","1.46"
16,"Fast","2405.34","35.13","1.46"
12,"Pleasant","1173.71","17.16","1.46"
13,"Lake","1350.85","19.74","1.46"
6,"Akron","119.10","1.74","1.46"
7,"Musial","566.33","8.26","1.46"
13,"Horatio","3876.02","56.66","1.46"
4,"Faux Products","598.85","8.72","1.46"
8,"Super","1603.88","23.43","1.46"
8,"Red Wing","1690.67","24.67","1.46"
23,"Fort West","1166.01","16.92","1.45"
12,"Mighty Good","337.37","4.90","1.45"
21,"Fort West","1847.13","26.80","1.45"
20,"Bird Call","272.34","3.96","1.45"
3,"Medalist","522.09","7.50","1.44"
8,"Bird Call","871.84","12.52","1.44"
24,"Carrington","2107.13","30.43","1.44"
9,"High Quality","534.63","7.69","1.44"
13,"Tip Top","164.27","2.37","1.44"
4,"Mighty Good","171.41","2.45","1.43"
19,"Booker","994.37","14.22","1.43"
3,"Best","278.94","3.98","1.43"
8,"Horatio","2216.22","31.61","1.43"
13,"Musial","898.39","12.85","1.43"
23,"Denny","1060.49","15.09","1.42"
19,"Jardon","125.64","1.78","1.42"
13,"Skinner","1165.03","16.59","1.42"
15,"Horatio","2860.73","40.66","1.42"
15,"Pleasant","1800.73","25.58","1.42"
1,"Urban","263.73","3.74","1.42"
11,"Hilltop","1807.85","25.52","1.41"
19,"Better","981.93","13.84","1.41"
7,"Fabulous","880.80","12.44","1.41"
24,"Dollar","299.91","4.24","1.41"
3,"Cutting Edge","946.34","13.33","1.41"
8,"Medalist","436.58","6.16","1.41"
9,"Better","328.23","4.60","1.40"
6,"Consolidated","900.74","12.63","1.40"
17,"Genteel","135.70","1.90","1.40"
4,"BBB Best","1015.21","14.26","1.40"
11,"Cutting Edge","998.70","14.00","1.40"
8,"Consolidated","839.24","11.77","1.40"
16,"Big Time","2489.80","34.79","1.40"
11,"Better","1508.71","21.08","1.40"
24,"Horatio","2516.22","35.12","1.40"
13,"Cutting Edge","1316.62","18.33","1.39"
10,"Excellent","408.52","5.67","1.39"
17,"Choice","546.35","7.59","1.39"
23,"Hermanos","1621.44","22.50","1.39"
8,"High Top","2429.05","33.78","1.39"
1,"Horatio","1429.92","19.81","1.39"
3,"CDR","1642.79","22.89","1.39"
19,"Blue Label","1060.16","14.77","1.39"
6,"Colony","647.26","8.98","1.39"
24,"Skinner","765.21","10.62","1.39"
17,"Urban","525.55","7.31","1.39"
8,"Fort West","2045.70","28.22","1.38"
24,"Excel","311.07","4.30","1.38"
23,"Gulf Coast","255.77","3.54","1.38"
3,"Amigo","201.83","2.79","1.38"
12,"Faux Products","1142.66","15.76","1.38"
3,"Even Better","1406.05","19.40","1.38"
10,"Colossal","244.26","3.37","1.38"
18,"BBB Best","402.24","5.56","1.38"
6,"Great","803.54","11.12","1.38"
4,"Pleasant","820.80","11.31","1.38"
17,"Gorilla","2194.61","30.34","1.38"
18,"Golden","494.98","6.85","1.38"
21,"Sunset","1569.94","21.51","1.37"
8,"Ebony","2732.32","37.30","1.37"
17,"Excel","419.72","5.75","1.37"
12,"Sunset","1635.61","22.46","1.37"
21,"Colony","387.45","5.30","1.37"
16,"Sunset","2149.75","29.38","1.37"
12,"Booker","1096.70","15.05","1.37"
20,"Urban","95.47","1.31","1.37"
9,"Fort West","520.35","7.09","1.36"
11,"Discover","458.34","6.22","1.36"
19,"Red Spade","619.75","8.43","1.36"
16,"Atomic","523.82","7.10","1.36"
23,"Just Right","805.96","10.95","1.36"
16,"CDR","1864.38","25.44","1.36"
4,"High Quality","1256.20","17.13","1.36"
16,"Colony","642.81","8.72","1.36"
21,"Great","619.07","8.41","1.36"
16,"Musial","682.60","9.27","1.36"
11,"Hermanos","3843.53","52.43","1.36"
19,"Ebony","2663.16","36.15","1.36"
4,"Bird Call","702.59","9.53","1.36"
3,"Tell Tale","3367.33","45.78","1.36"
4,"Denny","1285.64","17.34","1.35"
6,"High Quality","1948.74","26.37","1.35"
8,"Top Measure","305.97","4.14","1.35"
7,"Washington","715.38","9.67","1.35"
6,"Horatio","2630.01","35.61","1.35"
6,"Kiwi","166.46","2.25","1.35"
15,"Pearl","464.82","6.28","1.35"
21,"Bravo","1327.42","17.90","1.35"
10,"Thresher","272.12","3.65","1.34"
20,"Carlson","312.39","4.18","1.34"
7,"Best Choice","2657.43","35.68","1.34"
3,"Nationeel","2848.35","38.17","1.34"
21,"American","733.44","9.81","1.34"
19,"PigTail","1221.71","16.40","1.34"
17,"Landslide","2405.19","32.31","1.34"
12,"Red Spade","840.13","11.25","1.34"
16,"Gorilla","1588.12","21.17","1.33"
19,"Nationeel","2176.93","28.97","1.33"
8,"Bravo","1396.62","18.56","1.33"
4,"Tri-State","1587.38","21.13","1.33"
12,"PigTail","1601.31","21.24","1.33"
12,"Bird Call","969.32","12.87","1.33"
1,"Club","714.67","9.52","1.33"
17,"James Bay","283.92","3.78","1.33"
9,"Red Wing","549.71","7.31","1.33"
18,"Bravo","332.95","4.41","1.32"
17,"Even Better","2058.57","27.26","1.32"
4,"Better","681.95","9.02","1.32"
21,"Moms","817.80","10.82","1.32"
13,"Gauss","836.31","11.02","1.32"
18,"Red Wing","477.48","6.32","1.32"
24,"Footnote","112.54","1.49","1.32"
6,"Landslide","1527.74","20.16","1.32"
7,"Booker","1247.56","16.30","1.31"
8,"Discover","275.67","3.61","1.31"
8,"Hermanos","2763.48","36.10","1.31"
20,"Plato","350.59","4.58","1.31"
20,"Blue Label","311.74","4.07","1.31"
15,"Walrus","537.96","7.07","1.31"
9,"American","219.57","2.87","1.31"
4,"Red Wing","1137.38","14.86","1.31"
15,"Swell","178.65","2.34","1.31"
13,"Tell Tale","5400.51","70.10","1.30"
7,"BBB Best","2078.70","26.93","1.30"
19,"Even Better","1064.17","13.87","1.30"
15,"Modell","687.68","8.91","1.30"
6,"Steady","1128.00","14.64","1.30"
23,"Red Wing","1097.12","14.31","1.30"
10,"BBB Best","895.03","11.62","1.30"
13,"Monarch","706.14","9.12","1.29"
3,"Faux Products","1289.96","16.66","1.29"
21,"Denny","1990.49","25.69","1.29"
23,"Shady Lake","206.90","2.67","1.29"
13,"Pleasant","2405.11","31.13","1.29"
21,"Carrington","1778.70","22.84","1.28"
15,"Booker","1253.17","16.10","1.28"
3,"Fabulous","893.65","11.40","1.28"
23,"PigTail","782.65","9.98","1.28"
11,"Lake","1079.46","13.87","1.28"
23,"Consolidated","521.53","6.61","1.27"
17,"Gulf Coast","894.73","11.37","1.27"
17,"Hermanos","5115.62","64.91","1.27"
24,"Bird Call","1110.77","14.08","1.27"
10,"Moms","694.35","8.81","1.27"
11,"Denny","2693.12","34.16","1.27"
24,"Big Time","2760.24","35.19","1.27"
12,"Medalist","283.55","3.61","1.27"
23,"Good","254.71","3.24","1.27"
20,"Portsmouth","169.88","2.16","1.27"
8,"Radius","201.45","2.53","1.26"
13,"Sunset","3476.65","43.64","1.26"
16,"Nationeel","2849.50","35.86","1.26"
8,"Better","1161.39","14.64","1.26"
12,"Applause","185.54","2.34","1.26"
3,"Colony","595.84","7.48","1.26"
11,"Big Time","2631.51","33.21","1.26"
9,"Cutting Edge","191.74","2.41","1.26"
24,"Curlew","129.72","1.62","1.25"
24,"Fantastic","570.37","7.11","1.25"
6,"Super","1626.55","20.32","1.25"
13,"PigTail","2916.76","36.44","1.25"
