"product_id","product_name","total_revenue","returned_revenue","return_rate"
163,"Denny Screw Driver","1320.90","23.80","1.80"
265,"Medalist Rice Medly","2014.38","36.10","1.79"
1464,"Amigo Lox","1329.04","23.68","1.78"
1161,"Horatio Fudge Cookies","2218.62","39.49","1.78"
789,"Excel Monthly Auto Magazine","1838.96","32.58","1.77"
678,"Gorilla 2% Milk","1885.59","33.21","1.76"
610,"Landslide Low Fat Apple Butter","1298.44","22.70","1.75"
190,"High Top Dried Mushrooms","1929.84","33.66","1.74"
1498,"Fort West Raisins","1186.80","20.70","1.74"
105,"Golden Frozen Cauliflower","1938.12","33.48","1.73"
82,"Golden Low Fat Waffles","1412.10","24.30","1.72"
856,"Nationeel Salted Pretzels","1388.59","23.90","1.72"
9,"Washington Cranberry Juice","1134.98","19.36","1.71"
1273,"Pleasant Regular Ramen Soup","1545.77","26.48","1.71"
1503,"Gulf Coast Mint Chocolate Bar","1555.26","26.46","1.70"
1348,"Carrington Pancake Mix","1304.16","22.23","1.70"
1372,"Hilltop Buffered Aspirin","1461.63","24.90","1.70"
1357,"Carrington Frozen Peas","1590.77","27.10","1.70"
986,"Even Better String Cheese","1858.50","31.50","1.69"
547,"Fast Fondue Mix","1367.52","23.10","1.69"
719,"Imagine Chicken TV Dinner","1180.90","19.60","1.66"
1104,"Mighty Good Monthly Sports Magazine","1479.80","24.50","1.66"
1085,"High Quality D-Size Batteries","1220.80","20.16","1.65"
485,"Tell Tale Sweet Peas","1191.36","19.71","1.65"
442,"Steady Mint Mouthwash","1220.80","20.16","1.65"
1279,"Pleasant Canned Tuna in Water","1619.12","26.64","1.65"
749,"Consolidated Dishwasher Detergent","1305.63","21.36","1.64"
964,"Just Right Turkey Noodle Soup","1215.89","19.90","1.64"
899,"Pearl White Zinfandel Wine","1169.28","19.20","1.64"
1123,"Tri-State Potatos","1191.68","19.60","1.64"
530,"Fast Corn Chips","1849.92","30.08","1.63"
1447,"Hermanos Red Delcious Apples","1630.96","26.64","1.63"
559,"Fast Dried Dates","1859.76","30.24","1.63"
19,"Blue Label Chicken Soup","1764.07","28.71","1.63"
481,"Dollar Monthly Fashion Magazine","1576.05","25.65","1.63"
694,"Cutting Edge Corned Beef","1460.25","23.60","1.62"
22,"Blue Label Canned Tomatos","1138.13","18.32","1.61"
1148,"Tri-State Fuji Apples","1342.31","21.52","1.60"
1475,"Fort West Lemon Cookies","1780.00","28.48","1.60"
484,"Tell Tale Asparagus","1816.36","29.12","1.60"
1540,"CDR Vegetable Oil","1985.28","31.68","1.60"
250,"Best Choice Golden Raisins","1642.06","25.90","1.58"
188,"High Top Mushrooms","1465.44","23.22","1.58"
675,"Gorilla Sharp Cheddar Cheese","1838.08","28.72","1.56"
1342,"Carrington Frozen Mushroom Pizza","2155.94","33.57","1.56"
365,"Carlson Mild Cheddar Cheese","2027.52","31.68","1.56"
231,"Best Choice Low Fat Popcorn","1693.35","26.50","1.56"
16,"Blue Label Canned Beets","1727.33","26.81","1.55"
952,"Special Wheat Puffs","1876.95","29.10","1.55"
862,"Nationeel Low Fat Chips","1588.86","24.57","1.55"
668,"Gorilla Jack Cheese","2047.53","31.44","1.54"
1488,"Fort West Chocolate Donuts","1214.46","18.72","1.54"
742,"Consolidated Angled Toothbrush","1279.46","19.76","1.54"
544,"Fast Avocado Dip","1719.85","26.55","1.54"
1251,"Skinner Mango Drink","2097.88","32.22","1.54"
467,"Red Wing Copper Cleaner","1985.01","30.48","1.54"
419,"Big Time Frozen Peas","2102.73","32.13","1.53"
1140,"Tri-State Peaches","1338.88","20.48","1.53"
714,"Imagine Frozen Cheese Pizza","1593.00","24.30","1.53"
4,"Washington Cream Soda","1670.76","25.48","1.53"
1417,"Gauss Monthly Computer Magazine","2126.29","32.49","1.53"
886,"Monarch Thai Rice","1430.60","21.77","1.52"
636,"Radius Wheat Puffs","1388.64","21.12","1.52"
800,"Ebony Onions","1515.90","22.82","1.51"
1096,"High Quality Silver Cleaner","1359.36","20.48","1.51"
999,"Even Better Strawberry Yogurt","1631.42","24.39","1.50"
1271,"Pleasant Canned Tomatos","1865.50","28.00","1.50"
868,"Nationeel Raspberry Fruit Roll","2148.00","32.22","1.50"
313,"Excellent Mango Drink","1715.70","25.65","1.50"
520,"Tell Tale Honey Dew","1492.40","22.40","1.50"
1429,"Hermanos Shitake Mushrooms","1437.60","21.60","1.50"
487,"Tell Tale Beets","1391.00","20.80","1.50"
953,"Special Grits","1471.38","21.92","1.49"
832,"Ebony Fuji Apples","1736.64","25.92","1.49"
851,"Nationeel Buttered Popcorn","1347.87","20.08","1.49"
1425,"Hermanos Beets","1170.66","17.44","1.49"
702,"Jumbo Large Eggs","1804.80","26.88","1.49"
439,"Steady Multi-Symptom Cold Remedy","1897.00","28.00","1.48"
170,"Robust Monthly Fashion Magazine","1516.80","22.40","1.48"
1099,"High Quality Scissors","1756.08","25.92","1.48"
491,"Tell Tale Shitake Mushrooms","1670.76","24.57","1.47"
130,"Faux Products Laundry Detergent","1224.27","17.84","1.46"
843,"Nationeel Sugar Cookies","1417.08","20.58","1.45"
49,"Club Low Fat String Cheese","1635.92","23.66","1.45"
869,"Nationeel Grape Fruit Roll","1318.64","19.08","1.45"
521,"Tell Tale Fuji Apples","2014.65","29.04","1.44"
1208,"Portsmouth Merlot Wine","1592.85","22.96","1.44"
252,"Best Choice Frosted Donuts","1501.34","21.68","1.44"
661,"Applause Canned Peaches","1305.72","18.72","1.43"
861,"Nationeel Chocolate Donuts","1369.55","19.60","1.43"
863,"Nationeel Sesame Crackers","1662.84","23.84","1.43"
1291,"Framton City Map","1458.20","20.70","1.42"
1472,"Fort West Fudge Cookies","1243.00","17.60","1.42"
211,"High Top Walnuts","1338.24","19.04","1.42"
1538,"CDR Decaf Coffee","1910.80","27.20","1.42"
1114,"Tri-State Beets","1686.06","23.94","1.42"
91,"Golden Frozen Pepperoni Pizza","1136.32","16.08","1.42"
1555,"CDR Strawberry Jam","1463.20","20.65","1.41"
17,"Blue Label Creamed Corn","1489.02","20.93","1.41"
1450,"Hermanos Plums","1567.82","22.16","1.41"
1076,"High Quality AAA-Size Batteries","1607.04","22.68","1.41"
865,"Nationeel Dried Apples","1780.02","25.11","1.41"
918,"BBB Best Vegetable Oil","1698.84","23.76","1.40"
376,"Moms Beef Bologna","1457.34","20.43","1.40"
1506,"Gulf Coast Bubble Gum","1961.96","27.44","1.40"
739,"Consolidated Deodorant","1187.62","16.66","1.40"
1377,"Hilltop Multi-Symptom Cold Remedy","1621.59","22.64","1.40"
166,"Robust Monthly Sports Magazine","1242.41","17.29","1.39"
409,"Big Time Beef TV Dinner","2256.07","31.28","1.39"
457,"Red Wing AA-Size Batteries","1299.50","18.08","1.39"
816,"Ebony Firm Tofu","1156.45","16.03","1.39"
1194,"Musial Semi-Sweet Chocolate Bar","1410.62","19.67","1.39"
1448,"Hermanos Lemons","2277.32","31.52","1.38"
774,"Cormorant Tissues","1244.60","17.15","1.38"
1525,"Modell Rye Bread","2275.47","31.44","1.38"
1045,"PigTail Frozen Corn","1879.60","25.90","1.38"
1433,"Hermanos Garlic","1351.82","18.41","1.36"
196,"High Top Macintosh Apples","1269.58","17.29","1.36"
763,"Cormorant 75 Watt Lightbulb","1313.25","17.85","1.36"
277,"Great English Muffins","1597.83","21.69","1.36"
366,"Carlson Large Curd Cottage Cheese","1217.76","16.52","1.36"
842,"Nationeel Low Fat BBQ Chips","1657.60","22.40","1.35"
1454,"Hermanos Mixed Nuts","2013.66","27.12","1.35"
62,"Club Blueberry Yogurt","1974.94","26.74","1.35"
1198,"Musial White Chocolate Bar","1797.32","24.01","1.34"
1353,"Carrington Ice Cream Sandwich","1339.52","17.92","1.34"
860,"Nationeel Beef Jerky","1226.16","16.38","1.34"
1204,"Portsmouth Imported Beer","1289.52","17.28","1.34"
354,"Carlson Low Fat Cottage Cheese","1172.25","15.75","1.34"
506,"Tell Tale Almonds","1932.00","25.76","1.33"
470,"Red Wing Copper Pot Scrubber","1745.80","23.20","1.33"
829,"Ebony Sweet Onion","1141.42","15.19","1.33"
358,"Carlson Muenster Cheese","1980.00","26.25","1.33"
1009,"American Roasted Chicken","1577.07","20.79","1.32"
975,"Just Right Rice Soup","2286.08","30.08","1.32"
46,"Club Jack Cheese","1819.76","24.08","1.32"
1539,"CDR Regular Coffee","1918.88","25.06","1.31"
1453,"Hermanos Mandarin Oranges","1906.43","24.88","1.31"
550,"Fast Chocolate Donuts","1284.00","16.80","1.31"
639,"Bravo Creamed Corn","1754.80","22.96","1.31"
1231,"Plato Tomato Sauce","1984.85","25.97","1.31"
1063,"Bird Call 200 MG Acetominifen","1949.34","25.44","1.31"
688,"Cutting Edge Low Fat Bologna","1270.32","16.59","1.31"
882,"Thresher White Chocolate Bar","1531.35","19.92","1.30"
476,"Quick Seasoned Hamburger","1965.60","25.48","1.30"
592,"Colony Blueberry Muffins","1153.20","14.88","1.29"
132,"Denny 60 Watt Lightbulb","1190.40","15.36","1.29"
351,"ADJ Rosy Sunglasses","1711.20","22.08","1.29"
219,"Best Choice Corn Chips","1174.32","15.12","1.29"
517,"Tell Tale Canned Peanuts","1581.00","20.40","1.29"
619,"Landslide Strawberry Preserves","1217.25","15.75","1.29"
1535,"CDR Brown Sugar","1354.88","17.52","1.29"
891,"Discover Thai Rice","1351.09","17.29","1.28"
1346,"Carrington Chicken TV Dinner","1283.10","16.45","1.28"
321,"Excellent Apple Juice","1315.86","16.87","1.28"
1118,"Tri-State Shitake Mushrooms","1596.85","20.51","1.28"
345,"Better Fancy Canned Clams","1318.75","16.88","1.28"
427,"Steady Toothpaste","1168.44","14.98","1.28"
903,"Fantastic Rye Bread","1572.48","20.16","1.28"
1146,"Tri-State Cantelope","1403.22","17.99","1.28"
246,"Best Choice Raspberry Fruit Roll","1511.91","19.26","1.27"
712,"Imagine Waffles","2128.50","27.09","1.27"
390,"Urban Small Eggs","2060.74","26.18","1.27"
372,"Carlson Strawberry Yogurt","2189.00","27.86","1.27"
844,"Nationeel Chocolate Chip Cookies","1827.12","23.17","1.27"
456,"Red Wing 25 Watt Lightbulb","1687.44","21.36","1.27"
449,"Red Wing AAA-Size Batteries","2033.19","25.83","1.27"
197,"High Top Golden Delcious Apples","1373.52","17.46","1.27"
493,"Tell Tale Elephant Garlic","1462.56","18.48","1.26"
395,"Big Time Frozen Chicken Breast","1229.88","15.54","1.26"
7,"Washington Diet Cola","1244.97","15.66","1.26"
659,"Bravo Rice Soup","1524.75","19.26","1.26"
152,"Denny Tissues","1381.42","17.34","1.26"
1292,"Booker Low Fat Cottage Cheese","1844.82","23.31","1.26"
987,"Even Better Low Fat String Cheese","1452.99","18.13","1.25"
871,"Nationeel Raisins","1219.20","15.24","1.25"
11,"Washington Apple Drink","1965.60","24.57","1.25"
271,"Good Chardonnay","1331.94","16.59","1.25"
408,"Big Time Chicken TV Dinner","1403.60","17.60","1.25"
1128,"Tri-State Dried Mushrooms","1461.60","18.27","1.25"
1428,"Hermanos Green Pepper","2489.70","30.88","1.24"
479,"Dollar Monthly Computer Magazine","1216.90","15.05","1.24"
453,"Red Wing Toilet Bowl Cleaner","1413.28","17.52","1.24"
1452,"Hermanos Broccoli","1632.85","20.23","1.24"
573,"Shady Lake Manicotti","1637.37","20.34","1.24"
1533,"CDR Chunky Peanut Butter","1217.50","15.00","1.23"
264,"Medalist Thai Rice","1584.60","19.46","1.23"
1139,"Tri-State Plums","1633.06","20.02","1.23"
1166,"Horatio Cheese Crackers","1253.07","15.47","1.23"
332,"Better Vegetable Soup","1259.70","15.47","1.23"
27,"Blue Label Beef Soup","1526.40","18.55","1.22"
713,"Imagine Frozen Pepperoni Pizza","1702.32","20.76","1.22"
261,"Medalist Ravioli","1946.88","23.66","1.22"
256,"Choice Semi-Sweet Chocolate Bar","1301.15","15.90","1.22"
600,"Landslide Decaf Coffee","1328.25","16.17","1.22"
1502,"Gulf Coast Tasty Candy Bar","1376.90","16.86","1.22"
703,"Jumbo Egg Substitute","1476.09","17.82","1.21"
65,"Red Spade Beef Bologna","1868.72","22.56","1.21"
1383,"Sunset Plastic Spoons","1494.43","18.13","1.21"
312,"Excellent Berry Juice","1229.01","14.91","1.21"
799,"Ebony Prepared Salad","1408.64","17.04","1.21"
630,"Token Orange Juice","1383.20","16.80","1.21"
298,"Super Pepper","1412.17","16.98","1.20"
125,"Faux Products 200 MG Acetominifen","1164.64","13.92","1.20"
949,"Fabulous Apple Drink","1260.02","15.06","1.20"
1496,"Fort West Grape Fruit Roll","1249.82","14.82","1.19"
162,"Denny Large Sponge","1433.55","17.10","1.19"
1088,"High Quality Scented Tissue","1693.20","19.92","1.18"
537,"Fast Lemon Cookies","1348.85","15.90","1.18"
1529,"Modell Bagels","1684.05","19.62","1.17"
791,"Excel Monthly Home Magazine","1285.70","15.05","1.17"
483,"Tell Tale Corn on the Cob","1162.06","13.58","1.17"
143,"Denny Counter Cleaner","1257.06","14.76","1.17"
234,"Best Choice Salted Pretzels","1390.50","16.20","1.17"
1537,"CDR French Roast Coffee","1165.71","13.65","1.17"
356,"Carlson Sour Cream","1411.28","16.52","1.17"
375,"Moms Pimento Loaf","1371.71","16.03","1.17"
914,"BBB Best White Sugar","1485.84","17.22","1.16"
1390,"Sunset 75 Watt Lightbulb","1147.91","13.37","1.16"
941,"Fabulous Strawberry Drink","2377.90","27.65","1.16"
444,"Red Wing Plastic Forks","1556.59","18.13","1.16"
848,"Nationeel Lemon Cookies","1362.78","15.82","1.16"
951,"Special Corn Puffs","1163.79","13.51","1.16"
1423,"Hermanos Sweet Peas","1424.37","16.59","1.16"
164,"Ship Shape Extra Lean Hamburger","1541.43","17.82","1.16"
119,"Faux Products Extra Moisture Shampoo","1178.76","13.68","1.16"
584,"Walrus Light Beer","1351.98","15.54","1.15"
279,"Great Muffins","1469.22","16.92","1.15"
1317,"Lake Foot-Long Hot Dogs","1181.98","13.56","1.15"
1127,"Tri-State Baby Onion","1375.50","15.72","1.14"
1497,"Fort West Dried Dates","1733.83","19.74","1.14"
755,"Cormorant Plastic Forks","1585.36","17.88","1.13"
244,"Best Choice Apple Fruit Roll","1428.30","16.20","1.13"
446,"Red Wing Plastic Knives","2321.25","26.25","1.13"
907,"Fantastic Bagels","1822.86","20.52","1.13"
823,"Ebony Plums","1821.33","20.58","1.13"
656,"Bravo Fancy Canned Clams","2055.90","23.10","1.12"
890,"Discover Spaghetti","1396.35","15.66","1.12"
273,"Good Light Beer","1164.12","13.08","1.12"
304,"Super Grape Jam","1181.25","13.23","1.12"
373,"Carlson Blueberry Yogurt","1719.48","19.32","1.12"
948,"Fabulous Apple Juice","1855.92","20.72","1.12"
806,"Ebony Garlic","1398.80","15.60","1.12"
1313,"Lake Pimento Loaf","2112.88","23.52","1.11"
1101,"High Quality Screw Driver","1179.00","13.10","1.11"
63,"Red Spade Chicken Hot Dogs","1345.20","14.75","1.10"
1370,"Hilltop Apricot Shampoo","1299.48","14.28","1.10"
322,"Excellent Apple Drink","1624.10","17.88","1.10"
711,"Imagine Fajita French Fries","1583.72","17.34","1.09"
825,"Ebony Broccoli","1564.99","16.98","1.08"
137,"Denny 100 Watt Lightbulb","2060.90","22.20","1.08"
1197,"Musial Mints","1748.98","18.84","1.08"
597,"Landslide Brown Sugar","1556.80","16.80","1.08"
1269,"Pleasant Canned Yams","1842.08","19.85","1.08"
1473,"Fort West Fudge Brownies","1314.52","14.16","1.08"
1322,"Lake Sliced Turkey","1776.00","19.20","1.08"
754,"Cormorant 60 Watt Lightbulb","1444.34","15.42","1.07"
1226,"Plato French Roast Coffee","1660.56","17.76","1.07"
905,"Fantastic Cranberry Muffins","1304.80","13.98","1.07"
1527,"Modell Cranberry Muffins","1622.74","17.30","1.07"
551,"Fast Low Fat Chips","1794.39","19.26","1.07"
194,"High Top Firm Tofu","1572.48","16.80","1.07"
572,"Shady Lake Ravioli","1413.13","15.06","1.07"
171,"High Top Summer Squash","1392.40","14.75","1.06"
1272,"Pleasant Noodle Soup","1401.20","14.88","1.06"
797,"Ebony New Potatos","1243.92","13.14","1.06"
1070,"High Quality 60 Watt Lightbulb","1986.66","21.06","1.06"
68,"Red Spade Foot-Long Hot Dogs","1680.32","17.80","1.06"
1206,"Portsmouth Chardonnay Wine","1944.81","20.58","1.06"
1547,"CDR Pepper","1358.98","14.28","1.05"
1385,"Sunset C-Size Batteries","1144.80","12.00","1.05"
1421,"Hermanos Corn on the Cob","1621.64","17.04","1.05"
1408,"Sunset Copper Pot Scrubber","1510.50","15.90","1.05"
1034,"PigTail Turkey TV Dinner","1382.25","14.55","1.05"
13,"Jeffers Corn Puffs","1274.65","13.25","1.04"
1374,"Hilltop 200 MG Acetominifen","1667.53","17.34","1.04"
269,"Good Chablis Wine","1635.84","17.04","1.04"
672,"Gorilla Havarti Cheese","1609.88","16.70","1.04"
116,"Faux Products Toothpaste","1901.63","19.85","1.04"
1170,"Horatio Salsa Dip","1274.65","13.25","1.04"
388,"Urban Small Brown Eggs","1370.05","14.10","1.03"
1323,"Lake Sliced Ham","1428.84","14.70","1.03"
320,"Excellent Cranberry Juice","1900.58","19.56","1.03"
1091,"High Quality Scented Toilet Tissue","2079.04","21.36","1.03"
323,"Best Oatmeal","2044.00","21.00","1.03"
811,"Ebony Baby Onion","1443.42","14.85","1.03"
1048,"PigTail Frozen Chicken Thighs","1290.64","13.26","1.03"
912,"BBB Best Hot Chocolate","1283.44","13.15","1.02"
214,"High Top Party Nuts","1381.80","14.10","1.02"
183,"High Top Red Pepper","1178.49","12.05","1.02"
450,"Red Wing Paper Plates","1644.56","16.85","1.02"
418,"Big Time Frozen Corn","1861.24","18.96","1.02"
1172,"Horatio Salted Pretzels","1625.99","16.62","1.02"
369,"Carlson Chocolate Milk","1350.10","13.80","1.02"
241,"Best Choice Sesame Crackers","1446.27","14.55","1.01"
1213,"Sphinx White Bread","1734.56","17.58","1.01"
461,"Red Wing Scented Tissue","1340.96","13.60","1.01"
1131,"Tri-State Limes","1192.80","12.00","1.01"
1281,"Pleasant Large Canned Shrimp","1645.38","16.62","1.01"
641,"Bravo Chicken Soup","1962.14","19.90","1.01"
387,"Moms Sliced Chicken","1426.72","14.46","1.01"
1443,"Hermanos Firm Tofu","1284.64","13.02","1.01"
275,"Great White Bread","1935.84","19.62","1.01"
1081,"High Quality Counter Cleaner","1457.91","14.55","1.00"
1112,"Tri-State Sweet Peas","1782.84","17.90","1.00"
15,"Jeffers Grits","1145.00","11.45","1.00"
1402,"Sunset Scented Toilet Tissue","1297.59","12.95","1.00"
205,"High Top Mixed Nuts","1357.71","13.55","1.00"
216,"Tip Top Scallops","1810.80","18.00","0.99"
145,"Denny 25 Watt Lightbulb","1146.35","11.35","0.99"
1270,"Pleasant Vegetable Soup","1358.45","13.45","0.99"
1404,"Sunset Frying Pan","1368.55","13.55","0.99"
1004,"American Low Fat Bologna","1466.57","14.35","0.98"
225,"Best Choice Potato Chips","1987.79","19.45","0.98"
1422,"Hermanos Asparagus","1139.53","11.15","0.98"
722,"Imagine Grape Popsicles","1437.64","14.15","0.98"
950,"Special Oatmeal","1773.17","17.35","0.98"
184,"High Top Garlic","1747.60","17.00","0.97"
106,"Golden Frozen Broccoli","1518.48","14.80","0.97"
1252,"Skinner Strawberry Drink","1411.32","13.68","0.97"
1142,"Tri-State Mandarin Oranges","1525.15","14.75","0.97"
1328,"Giant Small Eggs","1170.68","11.30","0.97"
123,"Faux Products Buffered Aspirin","1977.60","19.20","0.97"
539,"Fast Cheese Crackers","1948.54","18.70","0.96"
331,"Better Canned Yams","1480.09","14.15","0.96"
674,"Gorilla Cheese Spread","1650.42","15.90","0.96"
1389,"Sunset Paper Cups","1635.86","15.78","0.96"
532,"Fast Sugar Cookies","2012.40","19.35","0.96"
108,"Golden Frozen Peas","1140.99","10.95","0.96"
20,"Blue Label Canned Yams","1442.82","13.90","0.96"
109,"Golden Popsicles","2050.05","19.75","0.96"
946,"Fabulous Orange Juice","1792.65","17.10","0.95"
1227,"Plato Decaf Coffee","1478.06","14.05","0.95"
587,"Colony Rye Bread","1713.48","16.35","0.95"
649,"Bravo Beef Soup","1343.85","12.75","0.95"
653,"Bravo Canned Tuna in Oil","1459.50","13.90","0.95"
1086,"High Quality Paper Towels","1325.72","12.65","0.95"
1371,"Hilltop Childrens Aspirin","1301.69","12.35","0.95"
1541,"CDR Corn Oil","1560.55","14.75","0.95"
1508,"Gulf Coast Mints","1890.36","17.70","0.94"
83,"Golden Orange Popsicles","2060.28","19.40","0.94"
780,"Cormorant Silver Cleaner","1508.04","14.20","0.94"
1196,"Musial Spicy Mints","1550.52","14.60","0.94"
872,"Nationeel Golden Raisins","1610.28","15.12","0.94"
28,"Blue Label Canned Peas","2080.12","19.55","0.94"
777,"Cormorant Frying Pan","1979.04","18.60","0.94"
883,"Monarch Ravioli","1557.30","14.50","0.93"
577,"Walrus Imported Beer","1404.32","13.10","0.93"
1024,"PigTail Low Fat French Fries","2125.10","19.75","0.93"
274,"Great Pumpernickel Bread","2408.56","22.44","0.93"
1107,"Mighty Good Monthly Home Magazine","1455.30","13.50","0.93"
54,"Club Mild Cheddar Cheese","1573.41","14.65","0.93"
383,"Moms Corned Beef","1471.25","13.75","0.93"
1455,"Hermanos Canned Peanuts","1356.08","12.65","0.93"
915,"BBB Best French Roast Coffee","1845.41","17.22","0.93"
801,"Ebony Green Pepper","1425.70","13.25","0.93"
724,"Imagine Lime Popsicles","1599.36","14.70","0.92"
18,"Blue Label Canned String Beans","1166.79","10.68","0.92"
892,"Discover Rice Medly","1490.58","13.65","0.92"
475,"Quick Extra Lean Hamburger","1414.62","13.05","0.92"
555,"Fast Apple Fruit Roll","1558.08","14.40","0.92"
526,"Kiwi Lox","1221.75","11.25","0.92"
1335,"Carrington Low Fat French Fries","1308.63","12.05","0.92"
527,"Kiwi Scallops","1289.96","11.90","0.92"
172,"High Top Corn on the Cob","1832.64","16.60","0.91"
1011,"American Sliced Turkey","1737.16","15.85","0.91"
281,"Great Blueberry Muffins","1451.76","13.15","0.91"
1367,"Hilltop Conditioning Shampoo","1967.07","17.85","0.91"
940,"Fabulous Mango Drink","1567.68","14.20","0.91"
1320,"Lake Roasted Chicken","1463.00","13.30","0.91"
422,"Big Time Frozen Chicken Wings","2014.83","18.35","0.91"
1248,"Plato Apple Preserves","1821.51","16.65","0.91"
834,"Ebony Oranges","1645.76","14.80","0.90"
233,"Best Choice Avocado Dip","1367.76","12.30","0.90"
1403,"Sunset Room Freshener","1354.20","12.20","0.90"
580,"Walrus Chablis Wine","1339.96","12.05","0.90"
311,"Super Grape Jelly","1197.55","10.75","0.90"
554,"Fast Dried Apples","1745.84","15.70","0.90"
972,"Just Right Fancy Canned Clams","1239.88","11.15","0.90"
1062,"Bird Call 200 MG Ibuprofen","1325.66","11.90","0.90"
278,"Great Cranberry Muffins","1868.16","16.80","0.90"
660,"Applause Canned Mixed Fruit","1556.80","14.00","0.90"
835,"Ebony Tangerines","1940.44","17.45","0.90"
1384,"Sunset Plastic Knives","1444.34","12.85","0.89"
1554,"CDR Apple Jam","1424.94","12.70","0.89"
1380,"Hilltop Mint Mouthwash","2447.12","21.72","0.89"
1264,"Johnson Grits","1320.70","11.75","0.89"
1465,"Amigo Scallops","1570.77","13.95","0.89"
605,"Landslide Canola Oil","1328.68","11.80","0.89"
66,"Red Spade Low Fat Bologna","1929.84","17.20","0.89"
1074,"High Quality C-Size Batteries","1430.41","12.52","0.88"
432,"Steady Apricot Shampoo","1334.80","11.75","0.88"
71,"Red Spade Roasted Chicken","1253.04","11.04","0.88"
149,"Denny Soft Napkins","1137.93","9.96","0.88"
1340,"Carrington Frozen Pepperoni Pizza","1454.62","12.85","0.88"
568,"Atomic Bubble Gum","1914.75","16.65","0.87"
135,"Denny Plastic Knives","1781.62","15.56","0.87"
153,"Denny Scented Toilet Tissue","1561.28","13.60","0.87"
305,"Super Apple Jam","1956.03","16.95","0.87"
364,"Carlson Sharp Cheddar Cheese","1269.40","11.00","0.87"
420,"Big Time Popsicles","1307.52","11.35","0.87"
1222,"Plato Chunky Peanut Butter","1401.40","12.25","0.87"
1396,"Sunset D-Size Batteries","1529.05","13.25","0.87"
1500,"Fort West Dried Apricots","1388.16","12.05","0.87"
86,"Golden Low Fat French Fries","1719.63","14.85","0.86"
1093,"High Quality Frying Pan","1626.99","14.05","0.86"
1435,"Hermanos Cauliflower","1585.76","13.60","0.86"
341,"Better Canned Tuna in Water","1617.68","13.85","0.86"
242,"Best Choice Frosted Cookies","1201.76","10.36","0.86"
415,"Big Time Ice Cream Sandwich","1693.62","14.55","0.86"
880,"Thresher Spicy Mints","2113.35","18.25","0.86"
138,"Denny AAA-Size Batteries","1574.10","13.50","0.86"
179,"High Top Green Pepper","1597.75","13.75","0.86"
645,"Bravo Noodle Soup","1962.12","16.60","0.85"
465,"Red Wing Room Freshener","1743.45","14.75","0.85"
534,"Fast Fudge Cookies","1595.36","13.52","0.85"
957,"Just Right Chicken Soup","1392.93","11.88","0.85"
1257,"Skinner Orange Juice","1140.72","9.70","0.85"
612,"Landslide Apple Butter","1408.96","11.90","0.84"
1115,"Tri-State Prepared Salad","1197.50","10.00","0.84"
42,"Queen City Map","1347.96","11.28","0.84"
39,"Green Ribbon Canned Peaches","1477.25","12.44","0.84"
134,"Denny Plastic Spoons","1159.11","9.72","0.84"
519,"Tell Tale Cantelope","2284.36","19.10","0.84"
148,"Denny Paper Towels","1892.05","15.80","0.84"
300,"Super Salt","1740.48","14.70","0.84"
1343,"Carrington Apple Cinnamon Waffles","1724.87","14.35","0.83"
1012,"American Sliced Ham","1653.24","13.80","0.83"
667,"Gorilla Sour Cream","1276.80","10.64","0.83"
