"store_id","sale_month","total_quantity","prev_month_qty","qty_change","status"
3,"1997-05-01 00:00:00+05:30","1692","1965","-273","Decline"
3,"1997-06-01 00:00:00+05:30","2353","1692","661","Growth"
3,"1997-07-01 00:00:00+05:30","1965","2353","-388","Decline"
3,"1997-08-01 00:00:00+05:30","2207","1965","242","Growth"
3,"1997-09-01 00:00:00+05:30","1748","2207","-459","Decline"
3,"1997-10-01 00:00:00+05:30","1612","1748","-136","Decline"
3,"1997-11-01 00:00:00+05:30","2623","1612","1011","Growth"
3,"1997-12-01 00:00:00+05:30","2515","2623","-108","Decline"
3,"1998-01-01 00:00:00+05:30","2148","2515","-367","Decline"
3,"1998-02-01 00:00:00+05:30","2008","2148","-140","Decline"
3,"1998-03-01 00:00:00+05:30","2143","2008","135","Growth"
3,"1998-04-01 00:00:00+05:30","2190","2143","47","Growth"
3,"1998-05-01 00:00:00+05:30","2519","2190","329","Growth"
3,"1998-06-01 00:00:00+05:30","2005","2519","-514","Decline"
3,"1998-07-01 00:00:00+05:30","1938","2005","-67","Decline"
3,"1998-08-01 00:00:00+05:30","2304","1938","366","Growth"
3,"1998-09-01 00:00:00+05:30","1906","2304","-398","Decline"
3,"1998-10-01 00:00:00+05:30","1984","1906","78","Growth"
3,"1998-11-01 00:00:00+05:30","2924","1984","940","Growth"
3,"1998-12-01 00:00:00+05:30","3269","2924","345","Growth"
4,"1998-01-01 00:00:00+05:30","2826",NULL,NULL,"No change"
4,"1998-02-01 00:00:00+05:30","2112","2826","-714","Decline"
4,"1998-03-01 00:00:00+05:30","2385","2112","273","Growth"
4,"1998-04-01 00:00:00+05:30","2480","2385","95","Growth"
4,"1998-05-01 00:00:00+05:30","2221","2480","-259","Decline"
4,"1998-06-01 00:00:00+05:30","1676","2221","-545","Decline"
4,"1998-07-01 00:00:00+05:30","2687","1676","1011","Growth"
4,"1998-08-01 00:00:00+05:30","1272","2687","-1415","Decline"
4,"1998-09-01 00:00:00+05:30","1786","1272","514","Growth"
4,"1998-10-01 00:00:00+05:30","1641","1786","-145","Decline"
4,"1998-11-01 00:00:00+05:30","2666","1641","1025","Growth"
4,"1998-12-01 00:00:00+05:30","2272","2666","-394","Decline"
5,"1998-01-01 00:00:00+05:30","208",NULL,NULL,"No change"
5,"1998-02-01 00:00:00+05:30","239","208","31","Growth"
5,"1998-03-01 00:00:00+05:30","219","239","-20","Decline"
5,"1998-04-01 00:00:00+05:30","136","219","-83","Decline"
5,"1998-05-01 00:00:00+05:30","260","136","124","Growth"
5,"1998-06-01 00:00:00+05:30","241","260","-19","Decline"
5,"1998-07-01 00:00:00+05:30","146","241","-95","Decline"
5,"1998-08-01 00:00:00+05:30","201","146","55","Growth"
5,"1998-09-01 00:00:00+05:30","145","201","-56","Decline"
5,"1998-10-01 00:00:00+05:30","168","145","23","Growth"
5,"1998-11-01 00:00:00+05:30","161","168","-7","Decline"
5,"1998-12-01 00:00:00+05:30","277","161","116","Growth"
6,"1997-01-01 00:00:00+05:30","1237",NULL,NULL,"No change"
6,"1997-02-01 00:00:00+05:30","1341","1237","104","Growth"
6,"1997-03-01 00:00:00+05:30","1244","1341","-97","Decline"
6,"1997-04-01 00:00:00+05:30","2325","1244","1081","Growth"
6,"1997-05-01 00:00:00+05:30","1702","2325","-623","Decline"
6,"1997-06-01 00:00:00+05:30","1810","1702","108","Growth"
6,"1997-07-01 00:00:00+05:30","1306","1810","-504","Decline"
6,"1997-08-01 00:00:00+05:30","1499","1306","193","Growth"
6,"1997-09-01 00:00:00+05:30","1919","1499","420","Growth"
6,"1997-10-01 00:00:00+05:30","2278","1919","359","Growth"
6,"1997-11-01 00:00:00+05:30","2127","2278","-151","Decline"
6,"1997-12-01 00:00:00+05:30","2545","2127","418","Growth"
6,"1998-01-01 00:00:00+05:30","1963","2545","-582","Decline"
6,"1998-02-01 00:00:00+05:30","2027","1963","64","Growth"
6,"1998-03-01 00:00:00+05:30","1949","2027","-78","Decline"
6,"1998-04-01 00:00:00+05:30","1818","1949","-131","Decline"
6,"1998-05-01 00:00:00+05:30","1619","1818","-199","Decline"
6,"1998-06-01 00:00:00+05:30","1537","1619","-82","Decline"
6,"1998-07-01 00:00:00+05:30","2329","1537","792","Growth"
6,"1998-08-01 00:00:00+05:30","2020","2329","-309","Decline"
6,"1998-09-01 00:00:00+05:30","2494","2020","474","Growth"
6,"1998-10-01 00:00:00+05:30","2214","2494","-280","Decline"
6,"1998-11-01 00:00:00+05:30","2737","2214","523","Growth"
6,"1998-12-01 00:00:00+05:30","2089","2737","-648","Decline"
7,"1997-01-01 00:00:00+05:30","1876",NULL,NULL,"No change"
7,"1997-02-01 00:00:00+05:30","2614","1876","738","Growth"
7,"1997-03-01 00:00:00+05:30","1883","2614","-731","Decline"
7,"1997-04-01 00:00:00+05:30","1865","1883","-18","Decline"
7,"1997-05-01 00:00:00+05:30","1635","1865","-230","Decline"
7,"1997-06-01 00:00:00+05:30","2054","1635","419","Growth"
7,"1997-07-01 00:00:00+05:30","1965","2054","-89","Decline"
7,"1997-08-01 00:00:00+05:30","2669","1965","704","Growth"
7,"1997-09-01 00:00:00+05:30","1836","2669","-833","Decline"
7,"1997-10-01 00:00:00+05:30","2127","1836","291","Growth"
7,"1997-11-01 00:00:00+05:30","2637","2127","510","Growth"
7,"1997-12-01 00:00:00+05:30","2502","2637","-135","Decline"
7,"1998-01-01 00:00:00+05:30","2447","2502","-55","Decline"
7,"1998-02-01 00:00:00+05:30","2178","2447","-269","Decline"
7,"1998-03-01 00:00:00+05:30","2322","2178","144","Growth"
7,"1998-04-01 00:00:00+05:30","1858","2322","-464","Decline"
7,"1998-05-01 00:00:00+05:30","1916","1858","58","Growth"
7,"1998-06-01 00:00:00+05:30","1871","1916","-45","Decline"
7,"1998-07-01 00:00:00+05:30","2064","1871","193","Growth"
7,"1998-08-01 00:00:00+05:30","2161","2064","97","Growth"
7,"1998-09-01 00:00:00+05:30","1800","2161","-361","Decline"
7,"1998-10-01 00:00:00+05:30","1842","1800","42","Growth"
7,"1998-11-01 00:00:00+05:30","3602","1842","1760","Growth"
7,"1998-12-01 00:00:00+05:30","2751","3602","-851","Decline"
8,"1998-01-01 00:00:00+05:30","3530",NULL,NULL,"No change"
8,"1998-02-01 00:00:00+05:30","3045","3530","-485","Decline"
8,"1998-03-01 00:00:00+05:30","3191","3045","146","Growth"
8,"1998-04-01 00:00:00+05:30","2908","3191","-283","Decline"
8,"1998-05-01 00:00:00+05:30","3134","2908","226","Growth"
8,"1998-06-01 00:00:00+05:30","3330","3134","196","Growth"
8,"1998-07-01 00:00:00+05:30","3949","3330","619","Growth"
8,"1998-08-01 00:00:00+05:30","3878","3949","-71","Decline"
8,"1998-09-01 00:00:00+05:30","3378","3878","-500","Decline"
8,"1998-10-01 00:00:00+05:30","4015","3378","637","Growth"
8,"1998-11-01 00:00:00+05:30","2785","4015","-1230","Decline"
8,"1998-12-01 00:00:00+05:30","3851","2785","1066","Growth"
9,"1998-01-01 00:00:00+05:30","1029",NULL,NULL,"No change"
9,"1998-02-01 00:00:00+05:30","1037","1029","8","Growth"
9,"1998-03-01 00:00:00+05:30","1190","1037","153","Growth"
9,"1998-04-01 00:00:00+05:30","1099","1190","-91","Decline"
9,"1998-05-01 00:00:00+05:30","899","1099","-200","Decline"
9,"1998-06-01 00:00:00+05:30","1205","899","306","Growth"
9,"1998-07-01 00:00:00+05:30","848","1205","-357","Decline"
9,"1998-08-01 00:00:00+05:30","1120","848","272","Growth"
9,"1998-09-01 00:00:00+05:30","868","1120","-252","Decline"
9,"1998-10-01 00:00:00+05:30","705","868","-163","Decline"
9,"1998-11-01 00:00:00+05:30","880","705","175","Growth"
9,"1998-12-01 00:00:00+05:30","1030","880","150","Growth"
10,"1998-01-01 00:00:00+05:30","2612",NULL,NULL,"No change"
10,"1998-02-01 00:00:00+05:30","2303","2612","-309","Decline"
10,"1998-03-01 00:00:00+05:30","1796","2303","-507","Decline"
10,"1998-04-01 00:00:00+05:30","1621","1796","-175","Decline"
10,"1998-05-01 00:00:00+05:30","2294","1621","673","Growth"
10,"1998-06-01 00:00:00+05:30","2204","2294","-90","Decline"
10,"1998-07-01 00:00:00+05:30","2114","2204","-90","Decline"
10,"1998-08-01 00:00:00+05:30","2470","2114","356","Growth"
10,"1998-09-01 00:00:00+05:30","2363","2470","-107","Decline"
10,"1998-10-01 00:00:00+05:30","2967","2363","604","Growth"
10,"1998-11-01 00:00:00+05:30","1952","2967","-1015","Decline"
10,"1998-12-01 00:00:00+05:30","2638","1952","686","Growth"
11,"1997-01-01 00:00:00+05:30","2099",NULL,NULL,"No change"
11,"1997-02-01 00:00:00+05:30","2212","2099","113","Growth"
11,"1997-03-01 00:00:00+05:30","2398","2212","186","Growth"
11,"1997-04-01 00:00:00+05:30","1796","2398","-602","Decline"
11,"1997-05-01 00:00:00+05:30","2634","1796","838","Growth"
11,"1997-06-01 00:00:00+05:30","2422","2634","-212","Decline"
11,"1997-07-01 00:00:00+05:30","1829","2422","-593","Decline"
11,"1997-08-01 00:00:00+05:30","1869","1829","40","Growth"
11,"1997-09-01 00:00:00+05:30","1793","1869","-76","Decline"
11,"1997-10-01 00:00:00+05:30","1917","1793","124","Growth"
11,"1997-11-01 00:00:00+05:30","2177","1917","260","Growth"
11,"1997-12-01 00:00:00+05:30","2933","2177","756","Growth"
11,"1998-01-01 00:00:00+05:30","2042","2933","-891","Decline"
11,"1998-02-01 00:00:00+05:30","2795","2042","753","Growth"
11,"1998-03-01 00:00:00+05:30","2310","2795","-485","Decline"
11,"1998-04-01 00:00:00+05:30","2208","2310","-102","Decline"
11,"1998-05-01 00:00:00+05:30","1853","2208","-355","Decline"
11,"1998-06-01 00:00:00+05:30","2058","1853","205","Growth"
11,"1998-07-01 00:00:00+05:30","1887","2058","-171","Decline"
11,"1998-08-01 00:00:00+05:30","2559","1887","672","Growth"
11,"1998-09-01 00:00:00+05:30","2427","2559","-132","Decline"
11,"1998-10-01 00:00:00+05:30","2213","2427","-214","Decline"
11,"1998-11-01 00:00:00+05:30","2914","2213","701","Growth"
11,"1998-12-01 00:00:00+05:30","3181","2914","267","Growth"
12,"1998-01-01 00:00:00+05:30","2907",NULL,NULL,"No change"
12,"1998-02-01 00:00:00+05:30","3401","2907","494","Growth"
12,"1998-03-01 00:00:00+05:30","3452","3401","51","Growth"
12,"1998-04-01 00:00:00+05:30","3438","3452","-14","Decline"
12,"1998-05-01 00:00:00+05:30","2856","3438","-582","Decline"
12,"1998-06-01 00:00:00+05:30","3609","2856","753","Growth"
12,"1998-07-01 00:00:00+05:30","3943","3609","334","Growth"
12,"1998-08-01 00:00:00+05:30","3179","3943","-764","Decline"
12,"1998-09-01 00:00:00+05:30","4391","3179","1212","Growth"
12,"1998-10-01 00:00:00+05:30","2791","4391","-1600","Decline"
12,"1998-11-01 00:00:00+05:30","3713","2791","922","Growth"
12,"1998-12-01 00:00:00+05:30","4128","3713","415","Growth"
13,"1997-01-01 00:00:00+05:30","4810",NULL,NULL,"No change"
13,"1997-02-01 00:00:00+05:30","2405","4810","-2405","Decline"
13,"1997-03-01 00:00:00+05:30","5363","2405","2958","Growth"
13,"1997-04-01 00:00:00+05:30","2105","5363","-3258","Decline"
13,"1997-05-01 00:00:00+05:30","3473","2105","1368","Growth"
13,"1997-06-01 00:00:00+05:30","2649","3473","-824","Decline"
13,"1997-07-01 00:00:00+05:30","5891","2649","3242","Growth"
13,"1997-08-01 00:00:00+05:30","2348","5891","-3543","Decline"
13,"1997-09-01 00:00:00+05:30","3210","2348","862","Growth"
13,"1997-10-01 00:00:00+05:30","2289","3210","-921","Decline"
13,"1997-11-01 00:00:00+05:30","3528","2289","1239","Growth"
13,"1997-12-01 00:00:00+05:30","3509","3528","-19","Decline"
13,"1998-01-01 00:00:00+05:30","3178","3509","-331","Decline"
13,"1998-02-01 00:00:00+05:30","2669","3178","-509","Decline"
13,"1998-03-01 00:00:00+05:30","3458","2669","789","Growth"
13,"1998-04-01 00:00:00+05:30","3206","3458","-252","Decline"
13,"1998-05-01 00:00:00+05:30","3474","3206","268","Growth"
13,"1998-06-01 00:00:00+05:30","2678","3474","-796","Decline"
13,"1998-07-01 00:00:00+05:30","3237","2678","559","Growth"
13,"1998-08-01 00:00:00+05:30","2706","3237","-531","Decline"
13,"1998-09-01 00:00:00+05:30","3910","2706","1204","Growth"
13,"1998-10-01 00:00:00+05:30","2814","3910","-1096","Decline"
13,"1998-11-01 00:00:00+05:30","4016","2814","1202","Growth"
13,"1998-12-01 00:00:00+05:30","3836","4016","-180","Decline"
14,"1997-01-01 00:00:00+05:30","102",NULL,NULL,"No change"
14,"1997-02-01 00:00:00+05:30","187","102","85","Growth"
14,"1997-03-01 00:00:00+05:30","150","187","-37","Decline"
14,"1997-04-01 00:00:00+05:30","149","150","-1","Decline"
14,"1997-05-01 00:00:00+05:30","191","149","42","Growth"
14,"1997-06-01 00:00:00+05:30","196","191","5","Growth"
14,"1997-07-01 00:00:00+05:30","162","196","-34","Decline"
14,"1997-08-01 00:00:00+05:30","194","162","32","Growth"
14,"1997-09-01 00:00:00+05:30","201","194","7","Growth"
14,"1997-10-01 00:00:00+05:30","188","201","-13","Decline"
14,"1997-11-01 00:00:00+05:30","175","188","-13","Decline"
14,"1997-12-01 00:00:00+05:30","222","175","47","Growth"
14,"1998-01-01 00:00:00+05:30","157","222","-65","Decline"
14,"1998-02-01 00:00:00+05:30","253","157","96","Growth"
14,"1998-03-01 00:00:00+05:30","144","253","-109","Decline"
14,"1998-04-01 00:00:00+05:30","157","144","13","Growth"
14,"1998-05-01 00:00:00+05:30","207","157","50","Growth"
14,"1998-06-01 00:00:00+05:30","149","207","-58","Decline"
14,"1998-07-01 00:00:00+05:30","181","149","32","Growth"
14,"1998-08-01 00:00:00+05:30","167","181","-14","Decline"
14,"1998-09-01 00:00:00+05:30","181","167","14","Growth"
14,"1998-10-01 00:00:00+05:30","229","181","48","Growth"
14,"1998-11-01 00:00:00+05:30","202","229","-27","Decline"
14,"1998-12-01 00:00:00+05:30","292","202","90","Growth"
15,"1997-01-01 00:00:00+05:30","1911",NULL,NULL,"No change"
15,"1997-02-01 00:00:00+05:30","1999","1911","88","Growth"
15,"1997-03-01 00:00:00+05:30","2188","1999","189","Growth"
15,"1997-04-01 00:00:00+05:30","2121","2188","-67","Decline"
15,"1997-05-01 00:00:00+05:30","2142","2121","21","Growth"
15,"1997-06-01 00:00:00+05:30","1659","2142","-483","Decline"
15,"1997-07-01 00:00:00+05:30","2228","1659","569","Growth"
15,"1997-08-01 00:00:00+05:30","2111","2228","-117","Decline"
15,"1997-09-01 00:00:00+05:30","1983","2111","-128","Decline"
15,"1997-10-01 00:00:00+05:30","2075","1983","92","Growth"
15,"1997-11-01 00:00:00+05:30","2304","2075","229","Growth"
15,"1997-12-01 00:00:00+05:30","2290","2304","-14","Decline"
15,"1998-01-01 00:00:00+05:30","2279","2290","-11","Decline"
15,"1998-02-01 00:00:00+05:30","1932","2279","-347","Decline"
15,"1998-03-01 00:00:00+05:30","1971","1932","39","Growth"
15,"1998-04-01 00:00:00+05:30","2135","1971","164","Growth"
15,"1998-05-01 00:00:00+05:30","2479","2135","344","Growth"
15,"1998-06-01 00:00:00+05:30","3148","2479","669","Growth"
15,"1998-07-01 00:00:00+05:30","2022","3148","-1126","Decline"
15,"1998-08-01 00:00:00+05:30","2537","2022","515","Growth"
15,"1998-09-01 00:00:00+05:30","1954","2537","-583","Decline"
15,"1998-10-01 00:00:00+05:30","2472","1954","518","Growth"
15,"1998-11-01 00:00:00+05:30","3743","2472","1271","Growth"
15,"1998-12-01 00:00:00+05:30","3182","3743","-561","Decline"
16,"1997-01-01 00:00:00+05:30","1592",NULL,NULL,"No change"
16,"1997-02-01 00:00:00+05:30","2206","1592","614","Growth"
16,"1997-03-01 00:00:00+05:30","1809","2206","-397","Decline"
16,"1997-04-01 00:00:00+05:30","1939","1809","130","Growth"
16,"1997-05-01 00:00:00+05:30","1822","1939","-117","Decline"
16,"1997-06-01 00:00:00+05:30","1730","1822","-92","Decline"
16,"1997-07-01 00:00:00+05:30","2180","1730","450","Growth"
16,"1997-08-01 00:00:00+05:30","2158","2180","-22","Decline"
16,"1997-09-01 00:00:00+05:30","1720","2158","-438","Decline"
16,"1997-10-01 00:00:00+05:30","1686","1720","-34","Decline"
16,"1997-11-01 00:00:00+05:30","2634","1686","948","Growth"
16,"1997-12-01 00:00:00+05:30","2115","2634","-519","Decline"
16,"1998-01-01 00:00:00+05:30","2128","2115","13","Growth"
16,"1998-02-01 00:00:00+05:30","2466","2128","338","Growth"
16,"1998-03-01 00:00:00+05:30","2480","2466","14","Growth"
16,"1998-04-01 00:00:00+05:30","2746","2480","266","Growth"
16,"1998-05-01 00:00:00+05:30","2785","2746","39","Growth"
16,"1998-06-01 00:00:00+05:30","2023","2785","-762","Decline"
16,"1998-07-01 00:00:00+05:30","1854","2023","-169","Decline"
16,"1998-08-01 00:00:00+05:30","2633","1854","779","Growth"
16,"1998-09-01 00:00:00+05:30","2095","2633","-538","Decline"
16,"1998-10-01 00:00:00+05:30","2022","2095","-73","Decline"
16,"1998-11-01 00:00:00+05:30","2932","2022","910","Growth"
16,"1998-12-01 00:00:00+05:30","2734","2932","-198","Decline"
17,"1997-01-01 00:00:00+05:30","2869",NULL,NULL,"No change"
17,"1997-02-01 00:00:00+05:30","2742","2869","-127","Decline"
17,"1997-03-01 00:00:00+05:30","2788","2742","46","Growth"
17,"1997-04-01 00:00:00+05:30","2551","2788","-237","Decline"
17,"1997-05-01 00:00:00+05:30","2394","2551","-157","Decline"
17,"1997-06-01 00:00:00+05:30","3199","2394","805","Growth"
17,"1997-07-01 00:00:00+05:30","3130","3199","-69","Decline"
17,"1997-08-01 00:00:00+05:30","3062","3130","-68","Decline"
17,"1997-09-01 00:00:00+05:30","2590","3062","-472","Decline"
17,"1997-10-01 00:00:00+05:30","2935","2590","345","Growth"
17,"1997-11-01 00:00:00+05:30","3179","2935","244","Growth"
17,"1997-12-01 00:00:00+05:30","3818","3179","639","Growth"
17,"1998-01-01 00:00:00+05:30","2984","3818","-834","Decline"
17,"1998-02-01 00:00:00+05:30","3025","2984","41","Growth"
17,"1998-03-01 00:00:00+05:30","3543","3025","518","Growth"
17,"1998-04-01 00:00:00+05:30","3465","3543","-78","Decline"
17,"1998-05-01 00:00:00+05:30","2501","3465","-964","Decline"
17,"1998-06-01 00:00:00+05:30","4075","2501","1574","Growth"
17,"1998-07-01 00:00:00+05:30","3450","4075","-625","Decline"
17,"1998-08-01 00:00:00+05:30","2644","3450","-806","Decline"
17,"1998-09-01 00:00:00+05:30","3523","2644","879","Growth"
17,"1998-10-01 00:00:00+05:30","2784","3523","-739","Decline"
17,"1998-11-01 00:00:00+05:30","3450","2784","666","Growth"
17,"1998-12-01 00:00:00+05:30","3646","3450","196","Growth"
18,"1998-01-01 00:00:00+05:30","994",NULL,NULL,"No change"
18,"1998-02-01 00:00:00+05:30","961","994","-33","Decline"
18,"1998-03-01 00:00:00+05:30","852","961","-109","Decline"
18,"1998-04-01 00:00:00+05:30","966","852","114","Growth"
18,"1998-05-01 00:00:00+05:30","1007","966","41","Growth"
18,"1998-06-01 00:00:00+05:30","921","1007","-86","Decline"
18,"1998-07-01 00:00:00+05:30","775","921","-146","Decline"
18,"1998-08-01 00:00:00+05:30","1141","775","366","Growth"
18,"1998-09-01 00:00:00+05:30","1084","1141","-57","Decline"
18,"1998-10-01 00:00:00+05:30","616","1084","-468","Decline"
18,"1998-11-01 00:00:00+05:30","753","616","137","Growth"
18,"1998-12-01 00:00:00+05:30","1010","753","257","Growth"
19,"1998-01-01 00:00:00+05:30","2497",NULL,NULL,"No change"
19,"1998-02-01 00:00:00+05:30","2939","2497","442","Growth"
19,"1998-03-01 00:00:00+05:30","2947","2939","8","Growth"
19,"1998-04-01 00:00:00+05:30","3266","2947","319","Growth"
19,"1998-05-01 00:00:00+05:30","3427","3266","161","Growth"
19,"1998-06-01 00:00:00+05:30","3732","3427","305","Growth"
19,"1998-07-01 00:00:00+05:30","3863","3732","131","Growth"
19,"1998-08-01 00:00:00+05:30","2917","3863","-946","Decline"
19,"1998-09-01 00:00:00+05:30","3709","2917","792","Growth"
19,"1998-10-01 00:00:00+05:30","3405","3709","-304","Decline"
19,"1998-11-01 00:00:00+05:30","3941","3405","536","Growth"
19,"1998-12-01 00:00:00+05:30","3509","3941","-432","Decline"
20,"1998-01-01 00:00:00+05:30","865",NULL,NULL,"No change"
20,"1998-02-01 00:00:00+05:30","923","865","58","Growth"
20,"1998-03-01 00:00:00+05:30","989","923","66","Growth"
20,"1998-04-01 00:00:00+05:30","708","989","-281","Decline"
20,"1998-05-01 00:00:00+05:30","894","708","186","Growth"
20,"1998-06-01 00:00:00+05:30","858","894","-36","Decline"
20,"1998-07-01 00:00:00+05:30","918","858","60","Growth"
20,"1998-08-01 00:00:00+05:30","815","918","-103","Decline"
20,"1998-09-01 00:00:00+05:30","744","815","-71","Decline"
20,"1998-10-01 00:00:00+05:30","914","744","170","Growth"
20,"1998-11-01 00:00:00+05:30","886","914","-28","Decline"
20,"1998-12-01 00:00:00+05:30","1086","886","200","Growth"
21,"1998-01-01 00:00:00+05:30","2991",NULL,NULL,"No change"
21,"1998-02-01 00:00:00+05:30","3148","2991","157","Growth"
21,"1998-03-01 00:00:00+05:30","2663","3148","-485","Decline"
21,"1998-04-01 00:00:00+05:30","3011","2663","348","Growth"
21,"1998-05-01 00:00:00+05:30","3307","3011","296","Growth"
21,"1998-06-01 00:00:00+05:30","3297","3307","-10","Decline"
21,"1998-07-01 00:00:00+05:30","3385","3297","88","Growth"
21,"1998-08-01 00:00:00+05:30","3218","3385","-167","Decline"
21,"1998-09-01 00:00:00+05:30","3523","3218","305","Growth"
21,"1998-10-01 00:00:00+05:30","3011","3523","-512","Decline"
21,"1998-11-01 00:00:00+05:30","2789","3011","-222","Decline"
21,"1998-12-01 00:00:00+05:30","4265","2789","1476","Growth"
22,"1997-01-01 00:00:00+05:30","146",NULL,NULL,"No change"
22,"1997-02-01 00:00:00+05:30","163","146","17","Growth"
22,"1997-03-01 00:00:00+05:30","191","163","28","Growth"
22,"1997-04-01 00:00:00+05:30","170","191","-21","Decline"
22,"1997-05-01 00:00:00+05:30","180","170","10","Growth"
22,"1997-06-01 00:00:00+05:30","192","180","12","Growth"
22,"1997-07-01 00:00:00+05:30","188","192","-4","Decline"
22,"1997-08-01 00:00:00+05:30","142","188","-46","Decline"
22,"1997-09-01 00:00:00+05:30","179","142","37","Growth"
22,"1997-10-01 00:00:00+05:30","137","179","-42","Decline"
22,"1997-11-01 00:00:00+05:30","214","137","77","Growth"
22,"1997-12-01 00:00:00+05:30","301","214","87","Growth"
22,"1998-01-01 00:00:00+05:30","194","301","-107","Decline"
22,"1998-02-01 00:00:00+05:30","247","194","53","Growth"
22,"1998-03-01 00:00:00+05:30","164","247","-83","Decline"
22,"1998-04-01 00:00:00+05:30","227","164","63","Growth"
22,"1998-05-01 00:00:00+05:30","170","227","-57","Decline"
22,"1998-06-01 00:00:00+05:30","189","170","19","Growth"
22,"1998-07-01 00:00:00+05:30","187","189","-2","Decline"
22,"1998-08-01 00:00:00+05:30","191","187","4","Growth"
22,"1998-09-01 00:00:00+05:30","221","191","30","Growth"
22,"1998-10-01 00:00:00+05:30","187","221","-34","Decline"
22,"1998-11-01 00:00:00+05:30","267","187","80","Growth"
22,"1998-12-01 00:00:00+05:30","197","267","-70","Decline"
23,"1997-01-01 00:00:00+05:30","983",NULL,NULL,"No change"
23,"1997-02-01 00:00:00+05:30","950","983","-33","Decline"
23,"1997-03-01 00:00:00+05:30","1163","950","213","Growth"
23,"1997-04-01 00:00:00+05:30","955","1163","-208","Decline"
23,"1997-05-01 00:00:00+05:30","962","955","7","Growth"
23,"1997-06-01 00:00:00+05:30","943","962","-19","Decline"
23,"1997-07-01 00:00:00+05:30","788","943","-155","Decline"
23,"1997-08-01 00:00:00+05:30","673","788","-115","Decline"
23,"1997-09-01 00:00:00+05:30","989","673","316","Growth"
23,"1997-10-01 00:00:00+05:30","887","989","-102","Decline"
23,"1997-11-01 00:00:00+05:30","1068","887","181","Growth"
23,"1997-12-01 00:00:00+05:30","1130","1068","62","Growth"
23,"1998-01-01 00:00:00+05:30","1330","1130","200","Growth"
23,"1998-02-01 00:00:00+05:30","789","1330","-541","Decline"
23,"1998-03-01 00:00:00+05:30","1028","789","239","Growth"
23,"1998-04-01 00:00:00+05:30","1028","1028","0","No change"
23,"1998-05-01 00:00:00+05:30","921","1028","-107","Decline"
23,"1998-06-01 00:00:00+05:30","697","921","-224","Decline"
23,"1998-07-01 00:00:00+05:30","585","697","-112","Decline"
23,"1998-08-01 00:00:00+05:30","830","585","245","Growth"
23,"1998-09-01 00:00:00+05:30","881","830","51","Growth"
23,"1998-10-01 00:00:00+05:30","735","881","-146","Decline"
23,"1998-11-01 00:00:00+05:30","886","735","151","Growth"
23,"1998-12-01 00:00:00+05:30","1176","886","290","Growth"
